ccaa_iso;fecha;Año;Mes;Trimestre;num_casos;Periodo;fecha_int;Estacion;Curso Lectivo
AN;22/11/2020;2020;11;T4;1082;202004;22112020;Otoño;1
AN;23/11/2020;2020;11;T4;1459;202004;23112020;Otoño;1
AN;24/11/2020;2020;11;T4;1732;202004;24112020;Otoño;1
AN;25/11/2020;2020;11;T4;1464;202004;25112020;Otoño;1
AN;26/11/2020;2020;11;T4;1326;202004;26112020;Otoño;1
AN;27/11/2020;2020;11;T4;1481;202004;27112020;Otoño;1
AN;28/11/2020;2020;11;T4;946;202004;28112020;Otoño;1
AN;29/11/2020;2020;11;T4;672;202004;29112020;Otoño;1
AN;30/11/2020;2020;11;T4;1050;202004;30112020;Otoño;1
AN;1/12/2020;2020;12;T4;1257;202004;1122020;Otoño;1
AN;2/12/2020;2020;12;T4;1118;202004;2122020;Otoño;1
AN;3/12/2020;2020;12;T4;988;202004;3122020;Otoño;1
AN;4/12/2020;2020;12;T4;1066;202004;4122020;Otoño;1
AN;5/12/2020;2020;12;T4;794;202004;5122020;Otoño;1
AN;6/12/2020;2020;12;T4;588;202004;6122020;Otoño;1
AN;7/12/2020;2020;12;T4;633;202004;7122020;Otoño;1
AN;8/12/2020;2020;12;T4;640;202004;8122020;Otoño;1
AN;9/12/2020;2020;12;T4;917;202004;9122020;Otoño;1
AN;10/12/2020;2020;12;T4;1107;202004;10122020;Otoño;1
AN;11/12/2020;2020;12;T4;1241;202004;11122020;Otoño;1
AN;12/12/2020;2020;12;T4;1017;202004;12122020;Otoño;1
AN;13/12/2020;2020;12;T4;654;202004;13122020;Otoño;1
AN;14/12/2020;2020;12;T4;933;202004;14122020;Otoño;1
AN;15/12/2020;2020;12;T4;1105;202004;15122020;Otoño;1
AN;16/12/2020;2020;12;T4;963;202004;16122020;Otoño;1
AN;17/12/2020;2020;12;T4;897;202004;17122020;Otoño;1
AN;18/12/2020;2020;12;T4;1070;202004;18122020;Otoño;1
AN;19/12/2020;2020;12;T4;703;202004;19122020;Otoño;1
AN;20/12/2020;2020;12;T4;585;202004;20122020;Otoño;1
AN;21/12/2020;2020;12;T4;962;202004;21122020;Otoño;1
AN;22/12/2020;2020;12;T4;1057;202004;22122020;Invierno;1
AN;23/12/2020;2020;12;T4;1164;202004;23122020;Invierno;1
AN;24/12/2020;2020;12;T4;999;202004;24122020;Invierno;0
AN;25/12/2020;2020;12;T4;838;202004;25122020;Invierno;0
AN;26/12/2020;2020;12;T4;931;202004;26122020;Invierno;0
AN;27/12/2020;2020;12;T4;1028;202004;27122020;Invierno;0
AN;28/12/2020;2020;12;T4;1595;202004;28122020;Invierno;0
AN;29/12/2020;2020;12;T4;1582;202004;29122020;Invierno;0
AN;30/12/2020;2020;12;T4;1700;202004;30122020;Invierno;0
AN;31/12/2020;2020;12;T4;1765;202004;31122020;Invierno;0
AN;1/1/2021;2021;1;T1;1617;202101;1012021;Invierno;0
AN;2/1/2021;2021;1;T1;1821;202101;2012021;Invierno;0
AN;3/1/2021;2021;1;T1;2097;202101;3012021;Invierno;0
AN;4/1/2021;2021;1;T1;3041;202101;4012021;Invierno;0
AN;5/1/2021;2021;1;T1;3558;202101;5012021;Invierno;0
AN;6/1/2021;2021;1;T1;2964;202101;6012021;Invierno;0
AN;7/1/2021;2021;1;T1;3763;202101;7012021;Invierno;0
AN;8/1/2021;2021;1;T1;4886;202101;8012021;Invierno;0
AN;9/1/2021;2021;1;T1;4450;202101;9012021;Invierno;0
AN;10/1/2021;2021;1;T1;3964;202101;10012021;Invierno;1
AN;11/1/2021;2021;1;T1;5559;202101;11012021;Invierno;1
AN;12/1/2021;2021;1;T1;6165;202101;12012021;Invierno;1
AN;13/1/2021;2021;1;T1;6425;202101;13012021;Invierno;1
AN;14/1/2021;2021;1;T1;6389;202101;14012021;Invierno;1
AN;15/1/2021;2021;1;T1;7217;202101;15012021;Invierno;1
AN;16/1/2021;2021;1;T1;5364;202101;16012021;Invierno;1
AN;17/1/2021;2021;1;T1;4487;202101;17012021;Invierno;1
AN;18/1/2021;2021;1;T1;7003;202101;18012021;Invierno;1
AN;19/1/2021;2021;1;T1;7578;202101;19012021;Invierno;1
AN;20/1/2021;2021;1;T1;8390;202101;20012021;Invierno;1
AN;21/1/2021;2021;1;T1;6997;202101;21012021;Invierno;1
AN;22/1/2021;2021;1;T1;7773;202101;22012021;Invierno;1
AN;23/1/2021;2021;1;T1;5994;202101;23012021;Invierno;1
AN;24/1/2021;2021;1;T1;4486;202101;24012021;Invierno;1
AN;25/1/2021;2021;1;T1;6279;202101;25012021;Invierno;1
AN;26/1/2021;2021;1;T1;6568;202101;26012021;Invierno;1
AN;27/1/2021;2021;1;T1;7358;202101;27012021;Invierno;1
AN;28/1/2021;2021;1;T1;5911;202101;28012021;Invierno;1
AN;29/1/2021;2021;1;T1;5351;202101;29012021;Invierno;1
AN;30/1/2021;2021;1;T1;4228;202101;30012021;Invierno;1
AN;31/1/2021;2021;1;T1;2972;202101;31012021;Invierno;1
AN;1/2/2021;2021;2;T1;4478;202101;1022021;Invierno;1
AN;2/2/2021;2021;2;T1;4043;202101;2022021;Invierno;1
AN;3/2/2021;2021;2;T1;4004;202101;3022021;Invierno;1
AN;4/2/2021;2021;2;T1;3507;202101;4022021;Invierno;1
AN;5/2/2021;2021;2;T1;3377;202101;5022021;Invierno;1
AN;6/2/2021;2021;2;T1;2475;202101;6022021;Invierno;1
