A�o,Columna1,Mes,Trimestre,_id,ccaa_iso,fecha,num_casos,num_casos_prueba_ag,num_casos_prueba_desconocida,num_casos_prueba_elisa,num_casos_prueba_pcr,num_casos_prueba_test_ac
2020,2020T1,1,T1,61ed75380634bb5d3b334249,GA,12/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33424a,IB,12/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33424b,MC,12/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33424c,MD,12/01/2020,1,0,0,0,1,0
2020,2020T1,1,T1,61ed75380634bb5d3b33424d,ML,12/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33424e,NC,12/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33424f,PV,12/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334250,RI,12/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334251,VC,12/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334252,AN,13/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334253,AR,13/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334254,AS,13/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334255,CB,13/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334256,CE,13/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334257,CL,13/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334258,CM,13/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334259,CN,13/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33425a,CT,13/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33425b,EX,13/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33425c,GA,13/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33425d,IB,13/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33425e,MC,13/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33425f,MD,13/01/2020,2,0,0,0,2,0
2020,2020T1,1,T1,61ed75380634bb5d3b334260,ML,13/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334261,NC,13/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334262,PV,13/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334263,RI,13/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334264,VC,13/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334265,AN,14/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334266,AR,14/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334267,AS,14/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334268,CB,14/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334269,CE,14/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33426a,CL,14/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33426b,CM,14/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33426c,CN,14/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33426d,CT,14/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33426e,EX,14/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33426f,GA,14/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334270,IB,14/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334271,MC,14/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334272,MD,14/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334273,ML,14/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334274,NC,14/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334275,PV,14/01/2020,0,0,0,0,0,0
