Estacion;fecha;Curso Lectivo
Verano;16/08/2022;0
Verano;17/08/2022;0
Verano;18/08/2022;0
Verano;19/08/2022;0
Verano;20/08/2022;0
Verano;21/08/2022;0
Verano;22/08/2022;0
Verano;23/08/2022;0
Verano;24/08/2022;0
Verano;25/08/2022;0
Verano;26/08/2022;0
Verano;27/08/2022;0
Verano;28/08/2022;0
Verano;29/08/2022;0
Verano;30/08/2022;0
Verano;31/08/2022;0
Verano;01/09/2022;0
Verano;02/09/2022;0
Verano;03/09/2022;0
Verano;04/09/2022;0
Verano;05/09/2022;0
Verano;06/09/2022;0
Verano;07/09/2022;1
Verano;08/09/2022;1
Verano;09/09/2022;1
Verano;10/09/2022;1
Verano;11/09/2022;1
Verano;12/09/2022;1
Verano;13/09/2022;1
Verano;14/09/2022;1
Verano;15/09/2022;1
Verano;16/09/2022;1
Verano;17/09/2022;1
Verano;18/09/2022;1
Verano;19/09/2022;1
Verano;20/09/2022;1
Verano;21/09/2022;1
Verano;22/09/2022;1
Verano;23/09/2022;1
Verano;24/09/2022;1
Otoño;25/09/2022;1
Otoño;26/09/2022;1
Otoño;27/09/2022;1
Otoño;28/09/2022;1
Otoño;29/09/2022;1
Otoño;30/09/2022;1
Otoño;01/10/2022;1
Otoño;02/10/2022;1
Otoño;03/10/2022;1
Otoño;04/10/2022;1
Otoño;05/10/2022;1
Otoño;06/10/2022;1
Otoño;07/10/2022;1
Otoño;08/10/2022;1
Otoño;09/10/2022;1
Otoño;10/10/2022;1
Otoño;11/10/2022;1
Otoño;12/10/2022;1
Otoño;13/10/2022;1
Otoño;14/10/2022;1
Otoño;15/10/2022;1
Otoño;16/10/2022;1
Otoño;17/10/2022;1
Otoño;18/10/2022;1
Otoño;19/10/2022;1
Otoño;20/10/2022;1
Otoño;21/10/2022;1
Otoño;22/10/2022;1
Otoño;23/10/2022;1
Otoño;24/10/2022;1
Otoño;25/10/2022;1
Otoño;26/10/2022;1
Otoño;27/10/2022;1
Otoño;28/10/2022;1
Otoño;29/10/2022;1
Otoño;30/10/2022;1
Otoño;31/10/2022;1
Otoño;01/11/2022;1
Otoño;02/11/2022;1
Otoño;03/11/2022;1
Otoño;04/11/2022;1
Otoño;05/11/2022;1
Otoño;06/11/2022;1
Otoño;07/11/2022;1
Otoño;08/11/2022;1
Otoño;09/11/2022;1
Otoño;10/11/2022;1
Otoño;11/11/2022;1
Otoño;12/11/2022;1
Otoño;13/11/2022;1
Otoño;14/11/2022;1
Otoño;15/11/2022;1
Otoño;16/11/2022;1
Otoño;17/11/2022;1
Otoño;18/11/2022;1
Otoño;19/11/2022;1
Otoño;20/11/2022;1
Otoño;21/11/2022;1
Otoño;22/11/2022;1
Otoño;23/11/2022;1
Otoño;24/11/2022;1
Otoño;25/11/2022;1
Otoño;26/11/2022;1
Otoño;27/11/2022;1
Otoño;28/11/2022;1
Otoño;29/11/2022;1
Otoño;30/11/2022;1
Otoño;01/12/2022;1
Otoño;02/12/2022;1
Otoño;03/12/2022;1
Otoño;04/12/2022;1
Otoño;05/12/2022;1
Otoño;06/12/2022;1
Otoño;07/12/2022;1
Otoño;08/12/2022;1
Otoño;09/12/2022;1
Otoño;10/12/2022;1
Otoño;11/12/2022;1
Otoño;12/12/2022;1
Otoño;13/12/2022;1
Otoño;14/12/2022;1
Otoño;15/12/2022;1
Otoño;16/12/2022;1
Otoño;17/12/2022;1
Otoño;18/12/2022;1
Otoño;19/12/2022;1
Otoño;20/12/2022;1
Otoño;21/12/2022;1
Otoño;22/12/2022;1
Invierno;23/12/2022;0
Invierno;24/12/2022;0
Invierno;25/12/2022;0
Invierno;26/12/2022;0
Invierno;27/12/2022;0
